iter	Passed	Remaining
484	587	624
485	589	623
486	590	621
487	591	620
488	592	619
489	593	617
490	594	616
491	595	614
492	596	613
493	597	612
494	598	610
495	599	609
496	600	608
497	601	606
498	602	605
499	603	603
500	604	601
501	605	600
502	605	598
503	606	596
504	607	595
505	607	593
506	608	591
507	609	590
508	610	588
509	610	587
510	611	585
511	612	583
512	613	582
513	614	581
514	615	579
515	616	577
516	617	576
517	618	575
518	619	573
519	620	572
520	620	570
521	621	569
522	622	567
523	623	566
524	624	564
525	625	563
526	626	561
527	627	560
528	628	559
529	629	558
530	630	557
531	631	555
532	632	554
533	633	552
534	634	551
535	635	550
536	636	549
537	637	547
538	638	546
539	639	544
540	640	543
541	641	542
542	642	540
543	643	539
544	644	538
545	645	536
546	646	535
547	647	533
548	648	532
549	649	531
550	649	529
551	650	528
552	652	527
553	653	525
554	654	524
555	655	523
556	656	521
557	656	520
558	657	518
559	658	517
560	660	516
561	661	515
562	662	513
563	663	512
564	664	511
565	665	510
566	666	509
567	667	507
568	668	506
569	669	505
570	670	503
571	671	502
572	672	500
573	672	499
574	673	497
575	674	496
576	675	495
577	676	493
578	677	492
579	678	491
580	679	489
581	680	488
582	681	487
583	682	486
584	683	485
585	685	484
586	686	483
587	687	482
588	689	480
589	690	479
590	691	478
591	692	477
592	693	475
593	694	474
594	695	473
595	697	472
596	698	471
597	699	470
598	700	468
599	701	467
600	702	466
601	703	465
602	704	463
603	705	462
604	706	461
605	707	459
606	708	458
607	709	457
608	709	455
609	710	454
610	711	453
611	712	451
612	713	450
613	714	449
614	715	448
615	717	446
616	718	445
617	718	444
618	719	443
619	720	441
620	721	440
621	722	439
622	723	437
623	724	436
624	725	435
625	726	433
626	726	432
627	728	431
628	729	429
629	730	428
630	731	427
631	732	426
632	733	425
633	734	424
634	735	422
635	736	421
636	737	420
637	738	418
638	739	417
639	740	416
640	741	415
641	742	413
642	743	412
643	744	411
644	745	410
645	746	409
646	747	407
647	748	406
648	749	405
649	749	403
650	750	402
651	751	400
652	751	399
653	752	398
654	753	396
655	754	395
656	755	394
657	756	393
658	757	392
659	758	390
660	760	389
661	761	388
662	761	387
663	763	386
664	763	384
665	764	383
666	765	382
667	766	380
668	766	379
669	767	378
670	769	377
671	770	375
672	771	374
673	772	373
674	773	372
675	773	370
676	774	369
677	775	368
678	777	367
679	777	366
680	778	364
681	779	363
682	780	362
683	781	361
684	782	359
685	783	358
686	784	357
687	786	356
688	787	355
689	788	354
690	789	353
691	790	352
692	791	350
693	792	349
694	793	348
695	795	347
696	796	346
697	796	344
698	798	343
699	799	342
700	799	341
701	800	339
702	801	338
703	802	337
704	803	336
705	804	334
706	804	333
707	805	332
708	806	331
709	807	329
710	808	328
711	809	327
712	810	326
713	811	325
714	812	323
715	813	322
716	815	321
717	816	320
718	817	319
719	818	318
720	819	317
721	820	315
722	821	314
723	823	313
724	824	312
725	826	312
726	828	311
727	829	310
728	831	308
729	832	307
730	833	306
731	834	305
732	835	304
733	836	303
734	837	301
735	838	300
736	839	299
737	840	298
738	840	296
739	841	295
740	842	294
741	843	293
742	844	291
743	845	290
744	845	289
745	847	288
746	848	287
747	848	285
748	849	284
749	850	283
750	851	282
751	852	281
752	853	279
753	853	278
754	855	277
755	856	276
756	857	275
757	858	274
758	859	273
759	860	271
760	861	270
761	862	269
762	862	268
763	863	266
764	864	265
765	865	264
766	866	263
767	867	262
768	868	260
769	869	259
770	870	258
771	871	257
772	872	256
773	873	255
774	874	253
775	875	252
776	877	251
777	878	250
778	880	249
779	881	248
780	881	247
781	882	246
782	883	244
783	884	243
784	886	242
785	886	241
786	887	240
787	888	238
788	889	237
789	890	236
790	890	235
791	891	234
792	892	232
793	893	231
794	894	230
795	895	229
796	896	228
797	897	227
798	899	226
799	900	225
800	901	224
801	903	222
802	904	221
803	905	220
804	906	219
805	908	218
806	909	217
807	910	216
808	911	215
809	912	214
810	913	212
811	914	211
812	916	210
813	916	209
814	917	208
815	918	207
816	919	206
817	920	204
818	921	203
819	923	202
820	924	201
821	926	200
822	927	199
823	928	198
824	930	197
825	931	196
826	932	195
827	934	194
828	935	192
829	936	191
830	937	190
831	938	189
832	940	188
833	941	187
834	942	186
835	943	185
836	944	183
837	946	182
838	947	181
839	949	180
840	950	179
841	951	178
842	952	177
843	953	176
844	953	174
845	955	173
846	956	172
847	958	171
848	959	170
849	960	169
850	961	168
851	962	167
852	964	166
853	965	165
854	966	163
855	967	162
856	968	161
857	969	160
858	970	159
859	971	158
860	972	156
861	973	155
862	974	154
863	974	153
864	975	152
865	976	151
866	977	149
867	977	148
868	978	147
869	980	146
870	981	145
871	983	144
872	984	143
873	985	142
874	986	140
875	987	139
876	988	138
877	989	137
878	990	136
879	991	135
880	993	134
881	994	132
882	994	131
883	995	130
884	996	129
885	998	128
886	999	127
887	1000	126
888	1001	125
889	1002	123
890	1003	122
891	1005	121
892	1006	120
893	1006	119
894	1007	118
895	1008	117
896	1009	115
897	1010	114
898	1011	113
899	1012	112
900	1013	111
901	1015	110
902	1016	109
903	1017	108
904	1019	106
905	1020	105
906	1021	104
907	1022	103
908	1023	102
909	1023	101
910	1024	100
911	1025	98
912	1026	97
913	1027	96
914	1028	95
915	1029	94
916	1030	93
917	1030	92
918	1031	90
919	1033	89
920	1034	88
921	1035	87
922	1037	86
923	1038	85
924	1039	84
925	1040	83
926	1041	81
927	1042	80
928	1043	79
929	1044	78
930	1045	77
931	1046	76
932	1047	75
933	1049	74
934	1052	73
935	1053	72
936	1054	70
937	1055	69
938	1056	68
939	1057	67
940	1058	66
941	1059	65
942	1060	64
943	1061	62
944	1063	61
945	1064	60
946	1065	59
947	1066	58
948	1067	57
949	1068	56
950	1069	55
951	1070	53
952	1071	52
953	1072	51
954	1072	50
955	1073	49
956	1074	48
957	1076	47
958	1077	46
959	1078	44
960	1079	43
961	1080	42
962	1081	41
963	1082	40
964	1083	39
965	1084	38
966	1085	37
967	1086	35
968	1087	34
969	1089	33
970	1090	32
971	1092	31
972	1093	30
973	1094	29
974	1095	28
975	1096	26
976	1098	25
977	1099	24
978	1100	23
979	1101	22
980	1103	21
981	1104	20
982	1105	19
983	1106	17
984	1107	16
985	1108	15
986	1109	14
987	1111	13
988	1112	12
989	1113	11
990	1114	10
991	1115	8
992	1116	7
993	1117	6
994	1118	5
995	1119	4
996	1120	3
997	1122	2
998	1123	1
999	1124	0
